Gen   | Best Fit     | Avg Fit      | Uncorr     | Info(Raw)    | Info(Norm) | Cond      
---------------------------------------------------------------------------
0     | 1.7231       | 1.3779       | 0.7496     | 101.73       | 1.0000     | 0.8675    
1     | 1.7659       | 1.4789       | 0.7969     | 101.67       | 0.9951     | 0.8645    
2     | 1.7513       | 1.4596       | 0.7789     | 103.78       | 1.0000     | 0.8617    
3     | 1.7513       | 1.5057       | 0.7789     | 103.78       | 1.0000     | 0.8617    
4     | 1.7574       | 1.5129       | 0.7865     | 104.05       | 1.0000     | 0.8548    
5     | 1.7613       | 1.4829       | 0.7878     | 105.89       | 1.0000     | 0.8673    
6     | 1.7613       | 1.4856       | 0.7878     | 105.89       | 1.0000     | 0.8673    
7     | 1.7613       | 1.5418       | 0.7878     | 105.89       | 1.0000     | 0.8673    
8     | 1.7855       | 1.5319       | 0.8102     | 107.08       | 1.0000     | 0.8764    
9     | 1.7855       | 1.5438       | 0.8102     | 107.08       | 1.0000     | 0.8764    
10    | 1.7855       | 1.5605       | 0.8102     | 107.08       | 1.0000     | 0.8764    
11    | 1.7855       | 1.5584       | 0.8102     | 107.08       | 1.0000     | 0.8764    
12    | 1.7855       | 1.5708       | 0.8102     | 107.08       | 1.0000     | 0.8764    
13    | 1.7855       | 1.5806       | 0.8102     | 107.08       | 1.0000     | 0.8764    
14    | 1.8033       | 1.5760       | 0.8272     | 107.12       | 1.0000     | 0.8803    
15    | 1.8033       | 1.5692       | 0.8272     | 107.12       | 1.0000     | 0.8803    
16    | 1.8033       | 1.5776       | 0.8272     | 107.12       | 1.0000     | 0.8803    
17    | 1.8033       | 1.5609       | 0.8272     | 107.12       | 1.0000     | 0.8803    
18    | 1.8033       | 1.5783       | 0.8272     | 107.12       | 1.0000     | 0.8803    
19    | 1.7924       | 1.5530       | 0.8188     | 108.26       | 1.0000     | 0.8678    
20    | 1.7924       | 1.5508       | 0.8188     | 108.26       | 1.0000     | 0.8678    
21    | 1.7924       | 1.5795       | 0.8188     | 108.26       | 1.0000     | 0.8678    
22    | 1.7897       | 1.5680       | 0.8145     | 108.54       | 1.0000     | 0.8758    
23    | 1.7897       | 1.5699       | 0.8145     | 108.54       | 1.0000     | 0.8758    
24    | 1.7897       | 1.5725       | 0.8145     | 108.54       | 1.0000     | 0.8758    
25    | 1.7897       | 1.5717       | 0.8145     | 108.54       | 1.0000     | 0.8758    
26    | 1.7897       | 1.5615       | 0.8145     | 108.54       | 1.0000     | 0.8758    
27    | 1.7897       | 1.5540       | 0.8145     | 108.54       | 1.0000     | 0.8758    
28    | 1.7897       | 1.5527       | 0.8145     | 108.54       | 1.0000     | 0.8758    
29    | 1.7897       | 1.5392       | 0.8145     | 108.54       | 1.0000     | 0.8758    
30    | 1.7897       | 1.5520       | 0.8145     | 108.54       | 1.0000     | 0.8758    
31    | 1.7897       | 1.5542       | 0.8145     | 108.54       | 1.0000     | 0.8758    
32    | 1.7897       | 1.5616       | 0.8145     | 108.54       | 1.0000     | 0.8758    
33    | 1.7897       | 1.5524       | 0.8145     | 108.54       | 1.0000     | 0.8758    
34    | 1.7897       | 1.5663       | 0.8145     | 108.54       | 1.0000     | 0.8758    
35    | 1.7897       | 1.5682       | 0.8145     | 108.54       | 1.0000     | 0.8758    
36    | 1.7897       | 1.5579       | 0.8145     | 108.54       | 1.0000     | 0.8758    
37    | 1.7897       | 1.5552       | 0.8145     | 108.54       | 1.0000     | 0.8758    
38    | 1.7897       | 1.5631       | 0.8145     | 108.54       | 1.0000     | 0.8758    
39    | 1.7897       | 1.5334       | 0.8145     | 108.54       | 1.0000     | 0.8758    
40    | 1.7897       | 1.5429       | 0.8145     | 108.54       | 1.0000     | 0.8758    
41    | 1.7897       | 1.5626       | 0.8145     | 108.54       | 1.0000     | 0.8758    
42    | 1.7897       | 1.5616       | 0.8145     | 108.54       | 1.0000     | 0.8758    
43    | 1.7993       | 1.5601       | 0.8235     | 109.20       | 1.0000     | 0.8788    
44    | 1.7993       | 1.5564       | 0.8235     | 109.20       | 1.0000     | 0.8788    
45    | 1.7993       | 1.5541       | 0.8235     | 109.20       | 1.0000     | 0.8788    
46    | 1.7993       | 1.5562       | 0.8235     | 109.20       | 1.0000     | 0.8788    
47    | 1.7993       | 1.5629       | 0.8235     | 109.20       | 1.0000     | 0.8788    
48    | 1.7993       | 1.5646       | 0.8235     | 109.20       | 1.0000     | 0.8788    
49    | 1.7993       | 1.5761       | 0.8235     | 109.20       | 1.0000     | 0.8788    
