Gen   | Best Fit     | Avg Fit      | Uncorr     | Info(Raw)    | Info(Norm) | Cond      
---------------------------------------------------------------------------
0     | 1.7563       | 1.3154       | 0.7835     | 102.08       | 1.0000     | 0.8638    
1     | 1.7563       | 1.4203       | 0.7835     | 102.08       | 1.0000     | 0.8638    
2     | 1.7601       | 1.4312       | 0.7847     | 103.03       | 1.0000     | 0.8766    
3     | 1.7601       | 1.4679       | 0.7847     | 103.03       | 1.0000     | 0.8766    
4     | 1.7667       | 1.5057       | 0.7919     | 103.51       | 1.0000     | 0.8739    
5     | 1.7667       | 1.5203       | 0.7919     | 103.51       | 1.0000     | 0.8739    
6     | 1.7582       | 1.5149       | 0.7855     | 103.96       | 1.0000     | 0.8637    
7     | 1.7914       | 1.4738       | 0.8171     | 105.01       | 1.0000     | 0.8714    
8     | 1.7624       | 1.4546       | 0.7899     | 105.70       | 1.0000     | 0.8625    
9     | 1.7624       | 1.4856       | 0.7899     | 105.70       | 1.0000     | 0.8625    
10    | 1.7624       | 1.4734       | 0.7899     | 105.70       | 1.0000     | 0.8625    
11    | 1.7624       | 1.4875       | 0.7899     | 105.70       | 1.0000     | 0.8625    
12    | 1.7758       | 1.5295       | 0.8198     | 105.40       | 0.9783     | 0.8664    
13    | 1.7758       | 1.5379       | 0.8198     | 105.40       | 0.9783     | 0.8664    
14    | 1.7910       | 1.5676       | 0.8357     | 105.40       | 0.9762     | 0.8714    
15    | 1.7890       | 1.5343       | 0.8132     | 106.20       | 1.0000     | 0.8790    
16    | 1.7890       | 1.5238       | 0.8132     | 106.20       | 1.0000     | 0.8790    
17    | 1.7890       | 1.5228       | 0.8132     | 106.20       | 1.0000     | 0.8790    
18    | 1.7890       | 1.5321       | 0.8132     | 106.20       | 1.0000     | 0.8790    
19    | 1.7890       | 1.5255       | 0.8132     | 106.20       | 1.0000     | 0.8790    
20    | 1.7890       | 1.5670       | 0.8132     | 106.20       | 1.0000     | 0.8790    
21    | 1.7890       | 1.5588       | 0.8132     | 106.20       | 1.0000     | 0.8790    
22    | 1.7890       | 1.5503       | 0.8132     | 106.20       | 1.0000     | 0.8790    
23    | 1.7890       | 1.5546       | 0.8132     | 106.20       | 1.0000     | 0.8790    
24    | 1.7890       | 1.5687       | 0.8132     | 106.20       | 1.0000     | 0.8790    
25    | 1.7981       | 1.5472       | 0.8217     | 106.44       | 1.0000     | 0.8821    
26    | 1.7981       | 1.5618       | 0.8217     | 106.44       | 1.0000     | 0.8821    
27    | 1.7981       | 1.5550       | 0.8217     | 106.44       | 1.0000     | 0.8821    
28    | 1.8082       | 1.4940       | 0.8319     | 108.01       | 1.0000     | 0.8815    
29    | 1.8082       | 1.4991       | 0.8319     | 108.01       | 1.0000     | 0.8815    
30    | 1.8082       | 1.4982       | 0.8319     | 108.01       | 1.0000     | 0.8815    
31    | 1.8082       | 1.4969       | 0.8319     | 108.01       | 1.0000     | 0.8815    
32    | 1.8082       | 1.5094       | 0.8319     | 108.01       | 1.0000     | 0.8815    
33    | 1.8082       | 1.5196       | 0.8319     | 108.01       | 1.0000     | 0.8815    
34    | 1.8082       | 1.5128       | 0.8319     | 108.01       | 1.0000     | 0.8815    
35    | 1.8082       | 1.5333       | 0.8319     | 108.01       | 1.0000     | 0.8815    
36    | 1.8082       | 1.5541       | 0.8319     | 108.01       | 1.0000     | 0.8815    
37    | 1.7985       | 1.5528       | 0.8319     | 108.01       | 0.9878     | 0.8815    
38    | 1.7985       | 1.5672       | 0.8319     | 108.01       | 0.9878     | 0.8815    
39    | 1.7985       | 1.5596       | 0.8319     | 108.01       | 0.9878     | 0.8815    
40    | 1.7985       | 1.5433       | 0.8319     | 108.01       | 0.9878     | 0.8815    
41    | 1.7985       | 1.5292       | 0.8319     | 108.01       | 0.9878     | 0.8815    
42    | 1.7985       | 1.5464       | 0.8319     | 108.01       | 0.9878     | 0.8815    
43    | 1.7985       | 1.5443       | 0.8319     | 108.01       | 0.9878     | 0.8815    
44    | 1.8021       | 1.5541       | 0.8317     | 108.08       | 0.9920     | 0.8838    
45    | 1.8021       | 1.5491       | 0.8317     | 108.08       | 0.9920     | 0.8838    
46    | 1.8021       | 1.5343       | 0.8317     | 108.08       | 0.9920     | 0.8838    
47    | 1.8021       | 1.5312       | 0.8317     | 108.08       | 0.9920     | 0.8838    
48    | 1.8169       | 1.5445       | 0.8525     | 107.96       | 0.9846     | 0.8833    
49    | 1.8157       | 1.5770       | 0.8525     | 107.96       | 0.9832     | 0.8833    
