Gen   | Best Fit     | Avg Fit      | Uncorr     | Info(Raw)    | Info(Norm) | Cond      
---------------------------------------------------------------------------
0     | 1.7597       | 1.3238       | 0.7961     | 102.16       | 0.9910     | 0.8541    
1     | 1.7597       | 1.4284       | 0.7961     | 102.16       | 0.9910     | 0.8541    
2     | 1.7850       | 1.4430       | 0.8105     | 103.42       | 1.0000     | 0.8723    
3     | 1.7726       | 1.4259       | 0.8032     | 104.80       | 1.0000     | 0.8472    
4     | 1.7662       | 1.4511       | 0.8032     | 104.80       | 0.9919     | 0.8472    
5     | 1.7735       | 1.4700       | 0.8005     | 105.64       | 1.0000     | 0.8648    
6     | 1.7735       | 1.4961       | 0.8005     | 105.64       | 1.0000     | 0.8648    
7     | 1.7735       | 1.5305       | 0.8005     | 105.64       | 1.0000     | 0.8648    
8     | 1.7722       | 1.5144       | 0.7999     | 106.21       | 0.9976     | 0.8711    
9     | 1.7722       | 1.5264       | 0.7999     | 106.21       | 0.9976     | 0.8711    
10    | 1.7722       | 1.5383       | 0.7999     | 106.21       | 0.9976     | 0.8711    
11    | 1.7722       | 1.5232       | 0.7999     | 106.21       | 0.9976     | 0.8711    
12    | 1.7874       | 1.5047       | 0.8127     | 107.38       | 1.0000     | 0.8734    
13    | 1.7874       | 1.5084       | 0.8127     | 107.38       | 1.0000     | 0.8734    
14    | 1.7874       | 1.5294       | 0.8127     | 107.38       | 1.0000     | 0.8734    
15    | 1.7874       | 1.5272       | 0.8127     | 107.38       | 1.0000     | 0.8734    
16    | 1.7874       | 1.5350       | 0.8127     | 107.38       | 1.0000     | 0.8734    
17    | 1.7874       | 1.5613       | 0.8127     | 107.38       | 1.0000     | 0.8734    
18    | 1.7874       | 1.5500       | 0.8127     | 107.38       | 1.0000     | 0.8734    
19    | 1.7874       | 1.5477       | 0.8127     | 107.38       | 1.0000     | 0.8734    
20    | 1.7874       | 1.5456       | 0.8127     | 107.38       | 1.0000     | 0.8734    
21    | 1.7874       | 1.5334       | 0.8127     | 107.38       | 1.0000     | 0.8734    
22    | 1.7874       | 1.5385       | 0.8127     | 107.38       | 1.0000     | 0.8734    
23    | 1.7822       | 1.5217       | 0.8087     | 107.54       | 1.0000     | 0.8675    
24    | 1.7822       | 1.5113       | 0.8087     | 107.54       | 1.0000     | 0.8675    
25    | 1.7822       | 1.5127       | 0.8087     | 107.54       | 1.0000     | 0.8675    
26    | 1.7822       | 1.5095       | 0.8087     | 107.54       | 1.0000     | 0.8675    
27    | 1.7822       | 1.5203       | 0.8087     | 107.54       | 1.0000     | 0.8675    
28    | 1.7822       | 1.5328       | 0.8087     | 107.54       | 1.0000     | 0.8675    
29    | 1.7822       | 1.5248       | 0.8087     | 107.54       | 1.0000     | 0.8675    
30    | 1.7822       | 1.5417       | 0.8087     | 107.54       | 1.0000     | 0.8675    
31    | 1.7822       | 1.5384       | 0.8087     | 107.54       | 1.0000     | 0.8675    
32    | 1.7822       | 1.5313       | 0.8087     | 107.54       | 1.0000     | 0.8675    
33    | 1.7822       | 1.5316       | 0.8087     | 107.54       | 1.0000     | 0.8675    
34    | 1.7822       | 1.5559       | 0.8087     | 107.54       | 1.0000     | 0.8675    
35    | 1.7822       | 1.5562       | 0.8087     | 107.54       | 1.0000     | 0.8675    
36    | 1.7822       | 1.5491       | 0.8087     | 107.54       | 1.0000     | 0.8675    
37    | 1.7822       | 1.5531       | 0.8087     | 107.54       | 1.0000     | 0.8675    
38    | 1.7822       | 1.5400       | 0.8087     | 107.54       | 1.0000     | 0.8675    
39    | 1.8016       | 1.5207       | 0.8280     | 108.30       | 1.0000     | 0.8678    
40    | 1.8016       | 1.5147       | 0.8280     | 108.30       | 1.0000     | 0.8678    
41    | 1.8016       | 1.5138       | 0.8280     | 108.30       | 1.0000     | 0.8678    
42    | 1.8016       | 1.5256       | 0.8280     | 108.30       | 1.0000     | 0.8678    
43    | 1.8016       | 1.5460       | 0.8280     | 108.30       | 1.0000     | 0.8678    
44    | 1.8016       | 1.5291       | 0.8280     | 108.30       | 1.0000     | 0.8678    
45    | 1.8016       | 1.5311       | 0.8280     | 108.30       | 1.0000     | 0.8678    
46    | 1.8016       | 1.5334       | 0.8280     | 108.30       | 1.0000     | 0.8678    
47    | 1.8016       | 1.5485       | 0.8280     | 108.30       | 1.0000     | 0.8678    
48    | 1.8016       | 1.5527       | 0.8280     | 108.30       | 1.0000     | 0.8678    
49    | 1.7922       | 1.5433       | 0.8180     | 108.57       | 1.0000     | 0.8710    
